Timestamp,Market Open Interest,Daily Range,10 Day  Average Daily Range,10 Day Average MOI,Greater MOI,Greater DR
25-08-2015,224617,72,49.8,214751,1,1
24-08-2015,223891,54,49.8,216670.5,1,1
21-08-2015,217255,52,50,217484.6,0,1
20-08-2015,216817,40,50.7,218098.3,0,0
19-08-2015,213795,22,45.8,217778.9,0,0
18-08-2015,211265,30,46.6,217273.2,0,0
17-08-2015,211130,30,45,216868.1,0,0
14-08-2015,207936,33,42.6,216350.5,0,0
13-08-2015,201082,62,43.3,214729.7,0,1
12-08-2015,201179,44,43.9,212896.7,0,1
11-08-2015,199181,30,39.7,210353.1,0,0
10-08-2015,210100,44,38.7,208974,1,1
07-08-2015,206744,27,36.2,207922.9,0,0
06-08-2015,204360,41,36.3,206677.2,0,1
05-08-2015,203546,59,40,205652.3,0,1
04-08-2015,200844,47,41.7,204610.2,0,1
03-08-2015,197069,63,45,203204.1,0,1
31-07-2015,191838,17,43.4,201594.3,0,0
30-07-2015,194553,26,39.8,200941.4,0,0
29-07-2015,193691,42,39.6,200192.6,0,1
28-07-2015,186972,33,39.9,198971.7,0,0
27-07-2015,184579,20,37.5,196419.6,0,0
24-07-2015,183841,12,36,194129.3,0,0
23-07-2015,183324,15,33.4,192025.7,0,0
22-07-2015,184826,24,29.9,190153.7,0,0
21-07-2015,186170,37,28.9,188686.3,0,1
20-07-2015,191965,28,25.4,188175.9,1,1
16-07-2015,189872,26,26.3,187979.3,1,0
15-07-2015,189980,31,26.8,187522,1,1
14-07-2015,185474,30,25.6,186700.3,0,1
13-07-2015,185700,29,25.2,186573.1,0,1
10-07-2015,191622,30,26.2,187277.4,1,1
09-07-2015,191153,35,28.5,188008.6,1,1
08-07-2015,189895,24,29.4,188665.7,1,0
07-07-2015,193370,42,31.2,189520.1,1,1
06-07-2015,192775,24,29.9,190180.6,1,0
03-07-2015,194100,21,29.2,190394.1,1,0
02-07-2015,195002,33,29.9,190907.1,1,1
01-07-2015,194333,34,30.2,191342.4,1,1
30-06-2015,190808,26,29.8,191875.8,0,0
29-06-2015,191082,17,28.6,192414,0,0
26-06-2015,192278,26,28.2,192479.6,0,0
25-06-2015,193887,22,26.9,192753,1,0
24-06-2015,192224,47,29.2,192985.9,0,1
23-06-2015,187769,27,27.7,192425.8,0,0
22-06-2015,187815,27,28,191929.8,0,0
19-06-2015,191832,33,29.2,191703,1,1
